n_cargos,static_v3_cost_mean,static_v3_cost_min,static_v3_cost_max,static_v3_time_ms_median,static_v3_time_ms_min,static_v3_time_ms_max,static_v3_rounds,dynamic_v2_cost_mean,dynamic_v2_cost_min,dynamic_v2_cost_max,dynamic_v2_time_ms_median,dynamic_v2_time_ms_min,dynamic_v2_time_ms_max,dynamic_v2_rounds
94,14956.600171652652,14357.506059193849,15706.885083595771,8.022600013646297,7.290600013220683,8.638300001621246,19,12795.694145676513,12659.792345197144,12944.330638980577,62.75554999592714,61.09559998731129,74.31889997678809,19
95,15231.778421324107,14634.760996598492,16311.260113310957,8.472150002489798,8.001600013813004,10.232100001303479,19,13026.518779449638,12878.732778970929,13146.571520131878,63.466799998423085,61.079699982656166,64.62800002191216,19
96,15493.611775156594,14864.833611202255,16691.700181494383,8.34660000691656,7.673000014619902,9.012199996504933,20,13109.850835707646,12962.556798278045,13247.095092061478,64.42414999764878,62.61300001642667,68.66339998668991,20
97,15445.911658010538,14859.4181315955,16031.11774824595,8.612799996626563,8.014999999431893,9.607999993022531,20,13618.192643355982,13536.033683111484,13679.885091612485,66.00705000164453,64.3737000063993,68.26640001963824,20
98,15456.667973623735,15123.292655604308,16068.83431327529,8.196399998269044,7.549100002506748,9.411400009412318,20,13935.65224090184,13788.30851541282,14197.363302177515,68.17510000837501,66.93190001533367,70.13180002104491,20
99,15716.252139185695,15072.950787356835,16251.201745984072,8.214550005504861,7.65100002172403,9.753900027135387,20,14220.136459496218,13976.648660127883,14352.653353246598,71.8104499974288,68.71459999820217,89.24689999548718,20
100,15828.940616466185,15410.674343129962,16406.522982599814,8.542999989003874,8.000200003152713,9.536600002320483,20,14045.400839037442,13849.433565253023,14261.999174928369,71.06025001849048,69.91369999013841,72.41059999796562,20
101,16369.367085329288,15865.160477078485,16841.087889460356,9.493100005784072,8.682899991981685,12.099000014131889,21,14019.640990030863,13916.462317010813,14098.287848679258,70.39735000580549,67.98019999405369,72.66480001271702,21
102,16341.37649720114,15979.527327794829,16890.41385525849,9.575349991791882,8.340500004123896,10.22009999724105,21,14328.903510372487,14224.647441677967,14443.922925499503,73.96540000627283,71.93599999300204,78.16560001811013,21
103,16328.571836735819,15761.183508730015,16959.33581044296,9.056150011019781,8.357999991858378,9.95790000888519,21,15022.556374691294,14850.942314815336,15122.492239856188,74.60550000541843,73.45240001450293,77.70699998945929,21
104,16551.027316598585,15776.1055023115,17305.65913417714,8.856000000378117,8.306899981107563,10.562100011156872,21,15197.192446386667,14983.497284551631,15550.351453437594,76.14285001181997,75.2601999847684,82.85629999591038,21
105,16591.32527673326,15814.921944997772,17290.93393766814,9.417549998033792,8.66150000365451,10.186800005612895,21,14933.098432170142,14871.353931981103,15026.11696237539,77.47629999357741,75.29080001404509,82.580299989786,21
106,16569.63564126856,15835.950647078897,17376.054936088105,9.467199997743592,8.68209998589009,10.306400014087558,22,14581.836920227455,14488.88252881902,14707.684015374294,78.69850000133738,76.48339998559095,82.40839999052696,22
107,16814.298544235116,16188.348738354849,18063.73451186414,9.88149999466259,8.505000005243346,11.844900000141934,22,15301.856506106793,15247.58133457476,15380.215330528117,79.90725000854582,78.02169999922626,81.49529999354854,22
